VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
NIMES;30;30189;CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES);;;DGD - Déchets gérés en décroissance;VTC;DGD;0,7;;-;18F
BAGNOLS-SUR-CEZE;30;30028;CONSEILS ET ETUDES EN RADIOPROTECTION (CERAP) - AGENCE DE BAGNOLS SUR CEZE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,0005;;-;131I
CHERBOURG-EN-COTENTIN;50;50129;CONSEILS ET ETUDES EN RADIOPROTECTION (CERAP) - AGENCE DE CHERBOURG;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,001;;-;131I
SAINT-BEAUZIRE;63;43170;LABORATOIRES CYCLOPHARMA - SAINT-BEAUZIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,208;;-;58Co,18F,51Cr,56Co
SIGNES;83;83127;IPSEN PHARMA BIOTECH - CONTRÔLE QUALITE - LABORATOIRE RIA;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,52;;-;125I
GENCAY;86;86103;BIOALTERNATIVES S.A. - BIOLOGIE MOLECULAIRE ET CELLULAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,1;;-;35S
SAINT-GREGOIRE;35;35278;BIOPROJET - BIOTECH - CENTRE DE RECHERCHE / BIOCHIMIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;3,8;;-;35S
BRON;69;69029;C.E.R.M.E.P. - CYCLOTRON BIOMEDICAL - RADIOCHIMIE - IMAGERIE DU VIVANT;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,999;;-;11C,13N,15O,18F,68Ga
ORLEANS;45;45234;CNRS - ORLEANS - CNRS - CBM A - UPR 4301;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;32P
MONTPELLIER;34;34172;CIRAD MONTPELLIER - SITE BAILLARGUET - LABORATOIRE SYMBIOSES TROPICALES ET MEDITERRANEENNES (LSTM TA82);;;DGD - Déchets gérés en décroissance;VTC;DGD;0,002;;-;32P
STRASBOURG;67;67482;INSTITUT DES NEUROSCIENCES CELLULAIRES ET INTEGRATIVES - CNRS - UPR 3212;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,135;;-;35S,125I
MONTPELLIER;34;34172;CNRS - MONTPELLIER - CNRS -CRBM - UMR5237 CENTRE DE RECHERCHE EN BIOCHIMIE CELLULAIRE DE MONTPELLIER;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,25;;-;32P,33P,35S
VILLIERS-EN-BOIS;79;79350;CNRS - CENTRE D'ETUDES BIOLOGIQUES DE CHIZE (CEBC) - CNRS - CEBC UMR7372;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,08;;-;125I
ORLEANS;45;45234;CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 CONDITIONS EXTREMES ET MATERIAUX : HAUTE TEMPERATURE ET IRRADIATION;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,025;;-;166Ho,46Sc,56Co,48V,52Mn
CLERMONT-FERRAND;63;63113;UNIVERSITE D'AUVERGNE - UMR 1240 IMAGERIE MOLECULAIRE ET STRATEGIES THERANOSTIQUES;;;DGD - Déchets gérés en décroissance;VTC;DGD;8;;-;111In,125I,131I,90Y,177Lu
LYON;69;69123;CENTRE LEON BERARD - GCS LYON CANCEROLOGIE UNIVERSITE- IRATHERAPIE - MEDECINE NUCLEAIRE LUMEN;;;DGD - Déchets gérés en décroissance;VTC;DGD;5;;-;18F,111In,123I,131I,99mTc,90Y
MONTPELLIER;34;34172;ICM - Val d'Aurelle - MEDECINE NUCLEAIRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;17,37;;-;226Ra,99Mo,111In,131I,99mTc,177Lu
SAINT-BENOIT;86;86214;SGS FRANCE - LIFE SERVICES SAINT BENOIT;;;DGD - Déchets gérés en décroissance;VTC;DGD;1;;-;125I
